Date,Flow
19400101,253
19400102,366
19400103,211
19400104,273
19400105,532
19400106,532
19400107,532
19400108,532
19400109,693
19400110,391
19400111,391
19400112,693
19400113,532
19400114,693
19400115,1530
19400116,966
19400117,966
19400118,459
19400119,1950
19400120,2460
19400121,1170
19400122,1280
19400123,780
19400124,871
19400125,1060
19400126,1060
19400127,871
19400128,966
19400129,871
19400130,693
19400131,693
19400201,610
19400202,780
19400203,780
19400204,780
19400205,532
19400206,745
19400207,1670
19400208,1290
19400209,2130
19400210,3640
19400211,4250
19400212,4360
19400213,6760
19400214,9350
19400215,9710
19400216,7700
19400217,5150
19400218,4560
19400219,6430
19400220,8960
19400221,10900
19400222,11300
19400223,11300
19400224,9520
19400225,7300
19400226,5390
19400227,4210
19400228,3840
19400229,3840
19400301,4290
19400302,5250
19400303,7480
19400304,9340
19400305,10700
19400306,11000
19400307,10800
19400308,9790
19400309,8690
19400310,6930
19400311,5100
19400312,4000
19400313,3310
19400314,2940
19400315,3140
19400316,3440
19400317,3440
19400318,3040
19400319,2840
19400320,2650
19400321,2460
19400322,2250
19400323,2060
19400324,1880
19400325,1800
19400326,1620
19400327,1500
19400328,1430
19400329,1430
19400330,1360
19400331,1280
19400401,1390
19400402,1360
19400403,1400
19400404,1430
19400405,1390
19400406,1250
19400407,1190
19400408,1530
19400409,2280
19400410,3240
19400411,3640
19400412,6340
19400413,9540
19400414,10700
19400415,9690
19400416,7560
19400417,5200
19400418,6400
19400419,16300
19400420,26800
19400421,29900
19400422,33300
19400423,42900
19400424,51200
19400425,50500
19400426,45100
19400427,38200
19400428,30200
19400429,20600
19400430,14400
19400501,12300
19400502,12000
19400503,11100
19400504,9070
19400505,7190
19400506,5840
19400507,5090
19400508,4560
19400509,4250
19400510,4250
19400511,4140
19400512,3740
19400513,3240
19400514,2940
19400515,2650
19400516,2650
19400517,2370
19400518,2260
19400519,2460
19400520,2650
19400521,2650
19400522,2840
19400523,2740
19400524,2460
19400525,2180
19400526,2280
19400527,2560
19400528,3040
19400529,2840
19400530,2650
19400531,2460
19400601,2460
19400602,2650
19400603,3940
19400604,4140
19400605,3640
19400606,2840
19400607,2460
19400608,2160
19400609,2160
19400610,2060
19400611,1900
19400612,2140
19400613,2110
19400614,2140
19400615,1980
19400616,1900
19400617,2080
19400618,1880
19400619,1840
19400620,2230
19400621,1900
19400622,1540
19400623,1270
19400624,1260
19400625,1300
19400626,1280
19400627,1320
19400628,1200
19400629,1170
19400630,1380
19400701,1580
19400702,1650
19400703,1300
19400704,1170
19400705,1060
19400706,890
19400707,880
19400708,871
19400709,763
19400710,736
19400711,668
19400712,771
19400713,947
19400714,966
19400715,693
19400716,676
19400717,652
19400718,618
19400719,610
19400720,602
19400721,610
19400722,618
19400723,532
19400724,474
19400725,540
19400726,532
19400727,496
19400728,405
19400729,459
19400730,459
19400731,439
19400801,439
19400802,445
19400803,385
19400804,398
19400805,398
19400806,379
19400807,379
19400808,391
19400809,405
19400810,445
19400811,341
19400812,391
19400813,335
19400814,427
19400815,572
19400816,391
19400817,360
19400818,341
19400819,360
19400820,385
19400821,366
19400822,360
19400823,366
19400824,284
19400825,207
19400826,220
19400827,312
19400828,329
19400829,354
19400830,360
19400831,379
19400901,379
19400902,360
19400903,312
19400904,295
19400905,360
19400906,329
19400907,341
19400908,329
19400909,263
19400910,360
19400911,445
19400912,341
19400913,318
19400914,290
19400915,284
19400916,234
19400917,618
19400918,348
19400919,295
19400920,273
19400921,244
19400922,185
19400923,174
19400924,239
19400925,318
19400926,284
19400927,279
19400928,290
19400929,279
19400930,194
19401001,268
19401002,279
19401003,258
19401004,268
19401005,290
19401006,284
19401007,202
19401008,279
19401009,295
19401010,258
19401011,284
19401012,284
19401013,307
19401014,202
19401015,194
19401016,263
19401017,258
19401018,263
19401019,279
19401020,273
19401021,202
19401022,253
19401023,273
19401024,273
19401025,284
19401026,268
19401027,202
19401028,202
19401029,284
19401030,290
19401031,290
19401101,318
19401102,354
19401103,341
19401104,229
19401105,341
19401106,335
19401107,295
19401108,295
19401109,335
19401110,348
19401111,379
19401112,602
19401113,366
19401114,295
19401115,360
19401116,366
19401117,366
19401118,324
19401119,307
19401120,348
19401121,273
19401122,341
19401123,379
19401124,439
19401125,398
19401126,335
19401127,452
19401128,432
19401129,488
19401130,481
19401201,510
19401202,432
19401203,411
19401204,439
19401205,445
19401206,425
19401207,411
19401208,372
19401209,248
19401210,398
19401211,398
19401212,398
19401213,391
19401214,398
19401215,445
19401216,800
19401217,1540
19401218,1540
19401219,1430
19401220,966
19401221,702
19401222,729
19401223,685
19401224,676
19401225,630
19401226,532
19401227,579
19401228,590
19401229,579
19401230,627
19401231,890