Date,Water Level,Discharge
1/2/2007,13.79,15676.43
1/15/2007,13.60,15325.09
1/29/2007,13.40,14834.03
2/12/2007,13.31,14358.65
2/26/2007,13.41,14968.31
3/12/2007,13.47,15383.72
3/26/2007,13.44,15219.87
4/9/2007,13.85,15722.36
4/23/2007,14.41,16236.43
5/22/2007,15.38,17743.96
6/5/2007,16.49,23115.84
6/19/2007,17.94,30328.57
7/1/2007,18.85,42240.84
1/1/2008,13.87,6882.92
1/7/2008,13.77,6525.32
1/14/2008,13.66,6291.30
3/3/2008,13.41,5368.56
3/10/2008,13.41,5289.03
3/17/2008,13.41,5222.52
3/24/2008,13.91,6653.87
3/31/2008,14.08,9956.54
4/7/2008,14.66,12671.67
4/14/2008,14.29,11334.44
4/21/2008,14.42,11713.52
4/28/2008,15.04,14753.24
5/5/2008,15.92,24303.05
5/19/2008,15.23,19828.10
5/26/2008,15.79,23165.15
6/2/2008,16.08,24874.08
6/9/2008,16.54,26663.81
7/7/2008,18.49,47019.25
7/14/2008,18.38,40145.81
7/21/2008,18.96,49037.08
7/28/2008,19.23,51035.35
8/4/2008,18.80,48426.95
8/11/2008,18.59,47021.33
8/26/2008,19.14,49365.51
9/2/2008,19.60,62378.87
9/23/2008,17.42,40441.36
10/6/2008,16.91,35898.86
11/17/2008,14.82,18611.92
11/20/2008,15.91,23684.33
12/1/2008,14.42,13418.92
12/15/2008,14.11,11813.46
1/5/2009,13.73,9598.33
1/19/2009,13.52,8939.11
2/3/2009,13.37,6891.83
2/17/2009,13.24,5691.54
3/2/2009,13.16,5043.83
3/16/2009,13.38,7416.80
4/7/2009,13.54,9145.58
4/21/2009,14.29,10775.57
5/7/2009,14.76,12089.69
5/19/2009,15.16,14033.63
6/2/2009,15.96,16734.81
7/21/2009,17.47,37269.09
8/4/2009,18.36,47187.34
8/11/2009,18.32,45321.86
8/18/2009,19.00,51201.89
8/25/2009,19.22,54004.46
9/8/2009,17.82,33822.14
9/29/2009,17.59,21458.49
10/6/2009,16.62,23554.49
10/20/2009,16.73,24857.33
11/3/2009,15.38,20439.04
11/17/2009,14.68,9650.00
12/8/2009,14.30,7622.23
12/22/2009,13.70,7067.63
1/5/2010,13.72,6866.11
1/12/2010,13.59,6340.97
1/19/2010,13.47,6297.23
1/26/2010,13.37,5547.31
2/9/2010,13.16,3930.18
2/23/2010,13.03,3749.42
3/9/2010,13.14,3957.14
3/23/2010,13.46,4543.52
4/6/2010,15.12,6472.47
4/26/2010,16.57,12444.08
5/4/2010,16.84,17374.85
5/18/2010,17.52,29235.78
6/9/2010,18.20,30841.63
6/23/2010,18.52,37896.68
7/6/2010,19.38,45231.64
7/13/2010,19.43,45449.44
7/20/2010,19.42,45380.95
7/26/2010,19.52,45775.37
8/3/2010,18.90,40555.39
8/10/2010,18.49,39652.21
8/24/2010,19.09,43247.08
9/7/2010,19.17,44714.93
9/21/2010,19.28,45029.36
10/5/2010,18.45,37057.89
10/19/2010,17.40,24987.06
11/9/2010,15.75,15487.60
11/23/2010,15.12,13650.42
12/7/2010,14.79,11905.28
12/21/2010,14.37,9926.05
1/4/2011,14.03,5297.29
1/18/2011,13.70,4890.08
2/8/2011,13.38,4132.25
2/22/2011,13.34,4150.43
3/1/2011,13.56,4342.02
3/8/2011,13.27,3796.70
3/22/2011,13.85,4937.06
4/5/2011,14.75,6079.59
4/19/2011,14.52,5458.15
5/3/2011,15.25,7223.62
5/19/2011,15.34,7703.28
6/7/2011,16.92,15852.16
6/21/2011,17.20,17443.61
7/12/2011,19.14,32928.27
7/26/2011,19.57,53317.36
8/9/2011,19.15,34887.69
8/16/2011,18.47,28273.02
8/23/2011,18.93,31847.43
8/30/2011,18.38,25140.16
9/12/2011,17.13,16848.25
9/26/2011,17.70,18009.59
10/10/2011,16.60,13404.69
10/27/2011,15.47,10877.72
11/14/2011,14.47,8424.63
11/28/2011,14.05,6367.06
12/13/2011,13.67,5849.72
12/27/2011,13.40,5015.56
1/10/2012,13.40,4271.76
1/17/2012,13.06,4040.87
1/24/2012,12.94,3915.03
1/31/2012,12.88,3660.77
2/14/2012,12.72,3521.11
2/28/2012,12.62,3293.76
3/27/2012,13.00,4167.78
4/10/2012,13.68,6114.35
4/22/2012,14.64,5407.63
4/23/2012,15.11,7019.90
5/14/2012,15.16,8202.47
5/28/2012,16.04,12107.83
6/11/2012,18.18,25046.68
6/24/2012,18.46,28063.73
7/9/2012,19.08,44940.91
7/23/2012,19.79,63554.27
8/13/2012,18.64,38451.41
8/27/2012,18.92,41475.75
9/10/2012,18.29,27750.06
9/25/2012,20.11,55369.47
10/8/2012,18.97,42008.36
10/22/2012,17.05,19557.00
11/5/2012,15.42,9132.02
11/19/2012,14.67,7506.98
12/10/2012,13.92,5660.56
12/24/2012,13.61,4928.85
1/21/2013,12.94,4228.76
2/18/2013,12.52,2415.93
3/5/2013,12.48,2036.82
4/8/2013,13.08,4117.57
5/6/2013,14.38,5627.24
5/20/2013,16.12,10360.74
6/4/2013,16.75,19439.58
6/20/2013,16.43,17883.93
7/8/2013,19.05,49290.89
7/30/2013,19.02,44049.71
8/20/2013,18.14,32552.54
8/28/2013,17.49,29179.39
9/10/2013,19.72,75660.06
9/25/2013,16.94,23433.76
10/8/2013,16.58,17046.20
10/23/2013,15.71,15540.20
11/12/2013,15.02,17564.40
11/27/2013,14.09,11527.26
12/10/2013,13.61,9500.70
12/22/2013,13.30,5818.02
1/14/2014,12.81,5284.93
1/28/2014,12.60,5292.35
2/11/2014,12.38,5257.78
2/25/2014,12.47,5468.58
5/12/2014,14.25,6715.24
5/27/2014,15.88,7303.52
6/9/2014,16.71,24970.89
6/24/2014,17.58,29197.14
7/9/2014,18.50,40842.46
7/21/2014,18.72,45627.69
8/13/2014,18.32,39282.40
8/22/2014,19.83,62924.48
9/10/2014,18.19,33195.96
9/24/2014,19.26,49554.18
10/14/2014,16.42,27203.46
10/28/2014,15.26,17881
11/26/2014,13.8,7243.65
12/16/2014,13.18,5385.59
1/6/2015,12.69,5001.8
1/27/2015,12.31,4550.35
2/10/2015,12.1,4154.38
2/24/2015,11.97,3858.75
3/17/2015,12.5,5279.87
3/31/2015,12.43,5108.2
8/11/2015,17.06,27141.49
8/26/2015,19.88,68340.72
9/15/2015,18.73,40397.82
10/7/2015,17.13,26929.75
10/21/2015,15.56,16396.95
11/11/2015,14.42,12144.24
11/25/2015,13.81,11590.44
12/12/2015,13.26,10268.97
12/22/2015,13.03,6994.6
3/8/2016,12.28,4834.76
3/22/2016,12.59,5655.96
5/9/2016,15.71,19236.65
5/10/2016,15.71,19236.65
5/24/2016,17.24,28308.2
5/25/2016,17.24,28308.2
6/6/2016,16.27,20948.95
7/13/2016,19.21,48546.72
7/31/2016,20.59,99999.99
8/10/2016,18.55,43951.14
8/17/2016,17.97,37351.62
8/23/2016,17.52,30535.01
8/31/2016,16.85,26122.52
9/6/2016,17.69,30339.07
9/20/2016,18.25,35612.13
9/27/2016,18.36,37967.4
10/11/2016,17.21,26468.72
10/25/2016,16.86,23118.9
11/8/2016,15.15,13708.81
11/23/2016,14.36,12774.34
12/6/2016,13.77,6727.21
12/19/2016,13.29,5807.76
1/10/2017,12.86,5136.26
1/24/2017,12.58,3389.86
2/7/2017,12.34,4013.54
2/25/2017,12.18,3452.63
3/6/2017,12.52,4079.37
3/25/2017,12.86,5459.37
4/13/2017,14.44,11226.96
4/30/2017,14.44,10177.72
5/9/2017,15.9,15663.41
5/23/2017,15.27,12957.21
6/6/2017,17.16,20128.21
6/21/2017,18.24,31090.26
7/5/2017,19.05,37520.78
7/11/2017,20,56963.55
7/18/2017,19.62,44824.42
7/25/2017,18.67,35481.01